Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_evide_dessus_r12
Date: 12.07.2018
Time: 16:34
Sample: 1mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 1mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-11.998    Start position Y=-0.001    Start position Z=1    Start position R=67.808
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
           1.000	           1.000	         -11.998	          -0.001	           1.000	          10.100	         -13.939	          90.967	        -108.202	       61991.310	          92.029	         142.046	             NaN	              R+	          11.998	           1.000	          10.100	          28.625
           1.000	           1.000	         -11.998	          -0.001	           1.000	          10.200	         -13.949	          92.007	        -107.075	       61986.758	          93.058	         141.863	             NaN	              R+	          11.998	           1.000	          10.200	          28.607
           1.000	           1.000	         -11.998	          -0.001	           1.000	          10.300	         -13.993	          93.060	        -105.997	       61982.207	          94.106	         141.744	             NaN	              R+	          11.998	           1.000	          10.300	          28.579
           1.000	           1.000	         -11.998	          -0.001	           1.000	          10.400	         -13.957	          94.025	        -104.836	       61977.656	          95.055	         141.513	             NaN	              R+	          11.998	           1.000	          10.400	          28.590
           1.000	           1.000	         -11.998	          -0.001	           1.000	          10.500	         -13.896	          94.965	        -103.655	       61973.104	          95.977	         141.265	             NaN	              R+	          11.998	           1.000	          10.500	          28.619
           1.000	           1.000	         -11.998	          -0.001	           1.000	          10.600	         -13.851	          95.942	        -102.522	       61968.553	          96.936	         141.094	             NaN	              R+	          11.998	           1.000	          10.600	          28.621
           1.000	           1.000	         -11.998	          -0.001	           1.000	          10.700	         -13.819	          96.905	        -101.320	       61964.001	          97.885	         140.881	             NaN	              R+	          11.998	           1.000	          10.700	          28.597
           1.000	           1.000	         -11.998	          -0.001	           1.000	          10.800	         -13.793	          97.835	        -100.102	       61959.450	          98.802	         140.650	             NaN	              R+	          11.998	           1.000	          10.800	          28.576
           1.000	           1.000	         -11.998	          -0.001	           1.000	          10.900	         -13.751	          98.557	         -99.048	       61954.899	          99.511	         140.403	             NaN	              R+	          11.998	           1.000	          10.900	          28.588
           1.000	           1.000	         -11.998	          -0.001	           1.000	          11.000	         -13.686	          99.350	         -97.889	       61950.347	         100.288	         140.142	             NaN	              R+	          11.998	           1.000	          11.000	          28.635
           1.000	           1.000	         -11.998	          -0.001	           1.000	          11.100	         -13.581	         100.271	         -96.541	       61945.796	         101.186	         139.853	             NaN	              R+	          11.998	           1.000	          11.100	          28.687
           1.000	           1.000	         -11.998	          -0.001	           1.000	          11.200	         -13.498	         101.047	         -95.275	       61941.244	         101.945	         139.535	             NaN	              R+	          11.998	           1.000	          11.200	          28.683
           1.000	           1.000	         -11.998	          -0.001	           1.000	          11.300	         -13.422	         101.790	         -94.032	       61936.693	         102.671	         139.224	             NaN	              R+	          11.998	           1.000	          11.300	          28.640
           1.000	           1.000	         -11.998	          -0.001	           1.000	          11.400	         -13.348	         102.531	         -92.800	       61932.142	         103.396	         138.934	             NaN	              R+	          11.998	           1.000	          11.400	          28.612
           1.000	           1.000	         -11.998	          -0.001	           1.000	          11.500	         -13.254	         103.264	         -91.516	       61927.590	         104.111	         138.615	             NaN	              R+	          11.998	           1.000	          11.500	          28.650
           1.000	           1.000	         -11.998	          -0.001	           1.000	          11.600	         -13.153	         103.983	         -90.233	       61923.039	         104.812	         138.303	             NaN	              R+	          11.998	           1.000	          11.600	          28.696
